event_id,key_experience,recommended_duration,suitable_for,intensity_level,night_friendly,photo_value,commercial_level,crowdedness,price_level,transportation,spatial_character,planning_tag,ticket_price,admission_info
1,"Live match broadcasts, concerts, cultural programming, interactive experiences, diverse food",3–5 hours,"All football fans, tourists, families",3,1.0,5.0,High,High,1.0,Metro + Walk,Historic mega stadium grounds,Must-visit,,Admission details not yet stated on official LA page
2,"Live match viewing, immersive fan experiences at historic market",2–4 hours,"All fans, families, foodies",2,1.0,4.0,High,High,1.0,Car + Walk,Open-air market complex,Local flavor,,Admission not stated on cited page
3,"Live match viewing, community fan experience",2–3 hours,"Local residents, families",1,0.0,3.0,Medium,Medium,1.0,Car,Shopping center area,Neighborhood,,Admission not stated on cited page
4,"Live match viewing, cultural experiences at landmark transit hub",2–4 hours,"All fans, culture lovers, tourists",2,1.0,4.0,Medium,High,1.0,Metro + Walk,Historic transit node + cultural center,Cultural highlight,,Admission not stated on cited page
5,"Outdoor lakeside match viewing, nature-adjacent fan gathering",2–4 hours,"Families, outdoor lovers",1,0.0,4.0,Low,Medium,1.0,Car,Lakeside recreation area,Outdoor escape,,Admission not stated on cited page
6,"July 4th weekend match viewing, community celebration",2–3 hours,"Local community, families",1,0.0,3.0,Low,Medium,1.0,Car + Transit,Community park,Neighborhood,,Admission not stated on cited page
7,"Live match viewing, immersive fan experience in park setting",2–3 hours,"Local community, families",1,0.0,3.0,Low,Medium,1.0,Car,Regional recreation area,Neighborhood,,Admission not stated on cited page
8,"Beachside match viewing, iconic Venice atmosphere",2–3 hours,"Tourists, beach visitors, fans",2,0.0,5.0,Medium,High,1.0,Car + Walk,Open beachfront boardwalk,Iconic LA,,Admission not stated on cited page
9,Large-venue match viewing for knockout rounds,2–4 hours,"All fans, families",2,1.0,3.0,Medium,Medium,1.0,Car,Fairground / expo campus,Event venue,,Admission not stated on cited page
10,Waterfront match viewing with harbor views,2–4 hours,"Tourists, families, fans",2,1.0,4.0,Medium,Medium,1.0,Car + Transit,Waterfront promenade,Scenic venue,,Admission not stated on cited page
11,Urban fan zone for semifinal and final stage viewing,2–3 hours,"Local residents, fans",1,1.0,3.0,Medium,Medium,1.0,Car + Transit,Pedestrian downtown strip,Neighborhood,,Admission not stated on cited page
12,"Watch parties, legend appearances, speaker sessions, live podcasts, premium viewing",2–4 hours,"USMNT fans, football fans",2,1.0,4.0,Medium,High,1.0,Car + Walk,Immersive pop-up venue,Must-visit,,Open to registered U.S. Soccer Insiders (free registration)
13,"Free live match viewing, Mexican culture, music, gastronomy, visual arts, exhibitions",2–4 hours,"Mexico fans, culture lovers, families",2,1.0,4.0,Medium,Medium,1.0,Metro + Walk,Cultural center campus,Cultural highlight,,Free public program
14,"Free youth training ages 6-12 led by LA Galaxy, LAFC, Angel City FC coaches",2–3 hours,"Youth ages 6-12, families",2,0.0,3.0,Low,Medium,1.0,Car + Transit,Campus sports field,Family activity,,Free clinic
15,"Volunteer-driven community park improvement, presented by Amgen",3–4 hours,"Community volunteers, families",2,0.0,3.0,Low,Medium,1.0,Metro + Walk,Open civic park,Community legacy,,Free (volunteer participation)
16,"Soccer education, interactive games, merchandise, grassroots fan engagement",30–60 min,"All ages, casual fans",1,0.0,2.0,Low,Low,1.0,Varies,Mobile pop-up,Grassroots,,Free
17,"Large-screen group-stage broadcasts, Galaxy player appearances, youth clinics, giveaways",2–4 hours,"Football fans, families, casual visitors",2,1.0,4.0,Medium,High,1.0,Metro + Car,Pedestrian commercial street,Free highlight,,Free and open to the public
18,"Round of 16 broadcasts, player interactions, sponsor activations at Galaxy Park",2–4 hours,"Football fans, families",2,1.0,3.0,Medium,Medium,1.0,Car,Stadium campus green,Free highlight,,Free and open to the public
19,"Beachside semifinal & final broadcasts, stage performances, merchandise on sand",2–4 hours,"Football fans, beach visitors, families",2,1.0,5.0,Medium,High,1.0,Car + Walk,Open beachfront,Free highlight,,Free and open to the public
20,Son Heung-min vs Messi; LAFC season opener at historic Coliseum,3–4 hours,"Football fans, MLS fans",3,1.0,5.0,High,High,3.0,Metro + Walk,Historic mega stadium,Marquee match,,Paid ticketed event
21,El Trafico derby during the World Cup window; LA's biggest MLS rivalry,3–4 hours,"Football fans, MLS fans",3,1.0,4.0,High,High,3.0,Car + Shuttle,Stadium campus,Rivalry match,,Paid ticketed event
22,Second El Trafico of 2026; Sunday Night Soccer on Apple TV,3–4 hours,"Football fans, MLS fans",3,1.0,4.0,High,High,2.0,Metro + Walk,Modern soccer-specific stadium,Rivalry match,,Paid ticketed event
23,"Photo with original FIFA World Cup Trophy, football challenges, music, DJs, giveaways",1–2 hours,"Football fans, tourists, families",1,0.0,5.0,High,High,1.0,Metro + Walk,Commercial entertainment complex,Once-in-a-lifetime,,Free (register for up to 4 tickets at coca-cola.com)
24,Official global fan hub,2–4 hours,"Soccer fans, families, tourists",5,1.0,5.0,High,High,1.0,Train/Drive,Open historic space,Iconic,,
25,Community outdoor watch party,2–3 hours,"Families, soccer fans, locals",5,1.0,3.0,Medium,High,1.0,Bus/Drive,Mixed-use node,Classic LA,,
