event_id,sport_type,approx_price,competition_event_info
112,Tennis (ITF / USTA SoCal Pro Series),Not publicly listed (event purse $15K),Men's and women's pro event at Jack Kramer Club during the first LA World Cup weekend.
113,Baseball (MLB),Tickets from about $10,Regular-season MLB game in Anaheim on the same day as LA's opening World Cup match.
114,Horse Racing,Free admission on non-holiday weekdays (program about $3),Santa Anita stakes/live racing day during the opening LA World Cup weekend.
115,Baseball (MLB),Tickets from about $10,Weekend MLB option for visitors in the LA region.
116,Horse Racing,General admission about $10 online,Saturday stakes card at Santa Anita during the LA World Cup window.
117,Horse Racing,General admission about $10 online,Sunday stakes card; Santa Anita's meet runs through June 14.
118,Baseball (MLB),Tickets from about $49,Dodgers home game on the same day as LA World Cup Match 15.
119,Baseball (MLB),Tickets from about $53,Midweek Dodgers home game during the World Cup stay in Los Angeles.
120,Baseball (MLB),Tickets from about $35,Day game option between LA World Cup matchdays.
121,Basketball (WNBA),Tickets from about $29,WNBA home game in downtown LA.
122,Baseball (MLB),Tickets from about $69,Friday-night Dodgers option in the LA World Cup window.
123,Baseball (MLB),Tickets from about $88,Saturday MLB game in LA during the World Cup stay.
124,Baseball (MLB),Tickets from about $79,Sunday afternoon Dodgers game; same day as LA World Cup Match 39.
125,Basketball (WNBA),Tickets from about $46,High-profile WNBA matchup in downtown LA.
126,Tennis (ITF / USTA SoCal Pro Series),Not publicly listed (event purse $15K),Regional pro tennis stop during LA's Round of 32 week.
127,Baseball (MLB),Tickets from about $9,Monday home game in Anaheim during the LA World Cup window.
128,Baseball (MLB),Tickets from about $9,Weeknight MLB option for fans staying in the region.
129,Baseball (MLB),Tickets from about $9,Day game in Anaheim ahead of the final LA group-stage match.
130,Baseball (MLB),Tickets from about $10,Weekend MLB series in Anaheim after LA's final group-stage match.
131,Baseball (MLB),Tickets from about $13,Saturday Anaheim option between LA knockout rounds.
132,Baseball (MLB),Tickets from about $10,Sunday afternoon game on LA's first Round of 32 day.
133,Baseball (MLB),Tickets from about $86,Home game on the same day as LA's second Round of 32 match.
134,Baseball (MLB),Tickets from about $80,Friday-night rivalry game at Dodger Stadium.
135,Baseball (MLB),Tickets from about $92,July 4 holiday MLB game in LA during the World Cup tournament.
136,Baseball (MLB),Tickets from about $56,Sunday rivalry game continuing through the World Cup knockout window.
137,Basketball (WNBA),Tickets from about $27,WNBA home game in downtown LA during the knockout stage period.
138,Basketball (WNBA),Tickets from about $121,High-demand WNBA matchup ahead of LA's World Cup quarter-final.
139,Basketball (WNBA),Tickets from about $38,WNBA home game on the same day as LA's World Cup quarter-final.
